"ExternalRiskEstimate","NetFractionRevolvingBurden","AverageMInFile","PercentTradesWBalance","PercentTradesNeverDelq","MSinceMostRecentInqexcl7days","RiskPerformance"
0.55,0.33,84,0.69,0.83,0,0
0.61,0.00940383094828576,41,0.00605560135329142,0.99246955423383,0,0
0.67,0.53,24,0.86,0.990767953039613,0,0
0.66,0.72,73,0.91,0.93,0,0
0.81,0.51,132,0.8,0.99985401815502,0,0
0.59,0.62,78,0.94,0.91,0,0
0.54,0.89,37,0.995401308864821,0.92,0,1
0.68,0.28,65,0.4,0.83,0,1
0.59,0.68,138,0.9,0.85,0,0
0.61,0.31,36,0.62,0.95,0,0
0.82,0.15,47,0.67,0.999161617003847,0,1
0.5,0.84,76,0.88,0.6,0,0
0.74,0.18,66,0.67,0.992127940079663,0,0
0.69,0.13,117,0.67,0.997029778410215,0,1
0.63,0.00984658520901576,95,0.994479190930724,0.75,0,0
0.63,0.71,77,0.82,0.97,0,0
0.61,0.62,68,0.86,0.87,0,0
0.62,0.25,59,0.7,0.79,0,0
0.89,0.03,147,0.5,0.998243958693929,0,0
0.65,0.31,26,0.75,0.996767192168627,0,0
0.57,0.44,73,0.56,0.97,0,0
0.72,0.49,83,0.73,0.995743395234458,0,0
0.72,0.43,53,0.64,0.995391479437239,0,1
0.65,0.14,45,0.5,0.85,0,0
0.64,0.24,55,0.82,0.9,0,0
0.58,0.63,79,0.91,0.93,0,0
0.58,0.79,72,0.91,0.55,0,0
0.79,0.28,94,0.57,0.993853773435112,0,0
0.66,0.19,107,0.63,0.82,0,0
0.69,0.5,157,0.89,0.998634010995738,0,0
0.71,0.05,62,0.22,0.83,0,1
0.54,0.62,49,0.996437001677696,0.64,0,0
0.68,0.15,44,0.5,0.995288129434921,0,0
0.75,0.53,66,0.55,0.992989651632961,0,1
0.67,0.31,37,0.67,0.88,0,0
0.88,0.01,92,0.25,0.999524771715514,0,1
0.51,0.79,96,0.995728026628494,0.84,0,0
0.7,0.51,57,0.67,0.96,0,0
0.65,0.52,37,0.56,0.93,0,0
0.78,0.07,13,0.75,0.99571316816844,0,0
0.86,0.000754315338563174,90,0.5,0.998118575951084,0,1
0.9,0.01,73,0.71,0.991455028876662,0,1
0.76,0.37,74,0.88,0.990131811827887,0,0
0.7,0.42,20,0.5,0.994028058547992,0,0
0.73,0.79,100,0.8,0.995908097652718,0,0
0.72,0.42,95,0.82,0.996450230046175,0,0
0.83,0.22,118,0.69,0.991045757287648,0,1
0.87,0.12,111,0.56,0.992738355360925,0,1
0.55,0.97,59,0.992263769044075,0.89,0,0
0.65,0.63,97,0.6,0.89,0,0
0.78,0.57,91,0.67,0.99520239985548,0,0
0.79,0.2,77,0.56,0.97,0,1
0.75,0.88,92,0.93,0.99695712530287,0,0
0.7,0.74,96,0.86,0.95,0,0
0.78,0.1,74,0.67,0.98,0,0
0.75,0.57,124,0.999179037767462,0.997527132953983,0,0
0.76,0.32,54,0.75,0.992614162322134,0,0
0.72,0.6,62,0.99452852707589,0.996128114503808,0,0
0.55,0.79,69,0.88,0.5,0,0
0.74,0.45,123,0.93,0.88,0,0
0.63,0.37,62,0.7,0.79,0,0
0.81,0.24,66,0.78,0.995449585982133,0,0
0.81,0.00257724917959422,78,0.8,0.995191097445786,0,1
0.59,0.63,79,0.86,0.76,0,0
0.66,0.36,81,0.47,0.98,0,0
0.72,0.66,60,0.78,0.96,0,0
0.73,0.27,94,0.72,0.990870328564197,0,1
0.86,0.00945910420967266,122,0.5,0.998996078846976,0,0
0.91,0.00550888378173113,209,0.00872830169275403,0.994927404983901,0,0
0.73,0.34,89,0.64,0.89,0,1
0.78,0.22,63,0.6,0.93,0,1
0.65,0.49,37,0.67,0.95,0,0
0.75,0.17,38,0.997583469364326,0.992261786356103,0,0
0.84,0.33,109,0.995171540286392,0.994462810573168,0,1
0.75,0.17,94,0.61,0.98,0,1
0.6,0.28,141,0.993833643880207,0.67,0,1
0.68,0.85,54,0.999933275461663,0.87,0,1
0.67,0.59,44,0.83,0.93,0,0
